OptNumbPar.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.336, Time: 2.030384 s
         17964982 function calls (16789681 primitive calls) in 6.719 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.080    0.080 arraymath.py:1(<module>)
     1846    0.001    0.000    0.080    0.000 passmanagers.py:753(run)
    73/65    0.003    0.000    0.080    0.001 parfor.py:4647(remove_dead_parfor)
126156/125144    0.031    0.000    0.080    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.079    0.040 numbers.py:206(int_power_impl)
     2781    0.001    0.000    0.078    0.000 context.py:384(decref)
13431/154    0.007    0.000    0.078    0.001 ir.py:1141(__deepcopy__)
     1846    0.006    0.000    0.077    0.000 values.py:936(__init__)
       84    0.000    0.000    0.076    0.001 lowering.py:796(lower_getitem)
  815/812    0.001    0.000    0.076    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      723    0.022    0.000    0.076    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        1    0.000    0.000    0.075    0.075 arraymath.py:32(_check_blas)
        1    0.000    0.000    0.075    0.075 linalg.py:55(ensure_blas)
      103    0.000    0.000    0.075    0.001 codegen.py:1423(_add_module)
        1    0.000    0.000    0.075    0.075 stencil.py:1(<module>)
      103    0.000    0.000    0.075    0.001 codegen.py:1094(add_module)
     2406    0.007    0.000    0.075    0.000 cgutils.py:362(alloca_once)
  845/599    0.001    0.000    0.075    0.000 context.py:153(refresh)
       62    0.001    0.000    0.073    0.001 inline_closurecall.py:80(run)
    11829    0.008    0.000    0.073    0.000 instructions.py:666(__init__)
     2143    0.002    0.000    0.072    0.000 errors.py:536(__init__)
      103    0.002    0.000    0.072    0.001 codegen.py:1087(_load_defined_symbols)
     2955    0.002    0.000    0.072    0.000 cgutils.py:929(gep_inbounds)
     2614    0.003    0.000    0.071    0.000 lowering.py:1562(decref)
     4178    0.010    0.000    0.071    0.000 errors.py:320(_markup)
     2998    0.034    0.000    0.070    0.000 cgutils.py:936(gep)
       60    0.000    0.000    0.070    0.001 untyped_passes.py:244(run_pass)
  351/208    0.007    0.000    0.069    0.000 ir_utils.py:823(find_potential_aliases)
        2    0.000    0.000    0.069    0.035 collections.py:1(<module>)
     1763    0.003    0.000    0.069    0.000 lowering.py:1506(delvar)
     7883    0.005    0.000    0.068    0.000 value.py:157(name)
     7303    0.036    0.000    0.068    0.000 inspect.py:876(cleandoc)
     2455    0.001    0.000    0.068    0.000 cgutils.py:417(get_or_insert_function)
        1    0.000    0.000    0.068    0.068 contour.py:1(<module>)
    85/84    0.000    0.000    0.067    0.001 <frozen importlib._bootstrap_external>:1287(create_module)
    85/84    0.065    0.001    0.067    0.001 {built-in method _imp.create_dynamic}
     6655    0.004    0.000    0.067    0.000 models.py:630(get)
     2467    0.001    0.000    0.067    0.000 cgutils.py:142(_get_ptr_by_index)
     8413    0.004    0.000    0.066    0.000 module.py:251(_next)
       47    0.000    0.000    0.066    0.001 parfor.py:1482(replace_func)
        2    0.000    0.000    0.065    0.032 inline_closurecall.py:570(inline_closure_call)
     7315    0.003    0.000    0.064    0.000 inspect.py:857(getdoc)
        8    0.000    0.000    0.064    0.008 ir_utils.py:67(mk_alloc)
      103    0.000    0.000    0.063    0.001 codegen.py:1326(_scan_and_fix_unresolved_refs)
  357/313    0.002    0.000    0.063    0.000 parfor.py:3999(parfor_defs)
1679/1413    0.003    0.000    0.063    0.000 array_analysis.py:1277(_analyze_inst)
     3524    0.001    0.000    0.063    0.000 errors.py:335(errmsg)
      587    0.001    0.000    0.062    0.000 postproc.py:52(deadmaps)
        1    0.000    0.000    0.062    0.062 backend_bases.py:1(<module>)
       60    0.000    0.000    0.062    0.001 ssa.py:27(reconstruct_ssa)
       60    0.000    0.000    0.062    0.001 ssa.py:48(_run_ssa)
   460381    0.046    0.000    0.061    0.000 {method 'get' of 'dict' objects}
     7352    0.005    0.000    0.061    0.000 values.py:1104(__init__)
     7369    0.005    0.000    0.061    0.000 value.py:220(is_declaration)
       89    0.001    0.000    0.060    0.001 callconv.py:520(unpack_exception)
      402    0.000    0.000    0.060    0.000 module.py:167(link_in)
     1911    0.002    0.000    0.060    0.000 context.py:374(resolve_value_type)
        3    0.000    0.000    0.059    0.020 registry.py:1(<module>)
        1    0.000    0.000    0.059    0.059 rcsetup.py:1(<module>)
      177    0.001    0.000    0.059    0.000 callconv.py:868(call_function)
        1    0.000    0.000    0.058    0.058 dispatcher.py:1(<module>)
       74    0.000    0.000    0.058    0.001 typed_passes.py:557(run_pass)
       74    0.000    0.000    0.058    0.001 ir_utils.py:2238(check_and_legalize_ir)
  297/200    0.002    0.000    0.058    0.000 ir_utils.py:919(copy_propagate)
       16    0.000    0.000    0.057    0.004 compiler.py:306(run_frontend)
    45/44    0.000    0.000    0.057    0.001 imputils.py:333(wrapper)
     3311    0.014    0.000    0.057    0.000 analysis.py:235(compute_cfg_from_blocks)
     3778    0.010    0.000    0.057    0.000 targetconfig.py:196(values)
     1182    0.001    0.000    0.056    0.000 cgutils.py:149(__getattr__)
   100780    0.023    0.000    0.055    0.000 event.py:100(__init__)
        8    0.000    0.000    0.055    0.007 parfor_lowering_utils.py:34(bind_global_function)
        1    0.000    0.000    0.054    0.054 compiler.py:1(<module>)
     1182    0.001    0.000    0.054    0.000 cgutils.py:166(__getitem__)
      837    0.003    0.000    0.053    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     1340    0.000    0.000    0.053    0.000 pythonapi.py:1304(_get_function)
        4    0.000    0.000    0.053    0.013 parfor_lowering.py:427(_parfor_lowering_finalize_reduction)
     2628    0.003    0.000    0.053    0.000 builder.py:875(call)
        1    0.000    0.000    0.053    0.053 text.py:1(<module>)
     3452    0.001    0.000    0.052    0.000 lowering.py:1412(_alloca_var)
      723    0.052    0.000    0.052    0.000 {built-in method marshal.loads}
    61448    0.029    0.000    0.052    0.000 _utils.py:24(deduplicate)
     4178    0.001    0.000    0.052    0.000 errors.py:243(__init__)
7605/5391    0.006    0.000    0.051    0.000 context.py:428(install_registry)
     1925    0.003    0.000    0.051    0.000 typeof.py:27(typeof)
      774    0.000    0.000    0.051    0.000 entrypoints.py:23(init_all)
        3    0.000    0.000    0.051    0.017 dispatcher.py:281(_compilation_chain_init_hook)
22162/21945    0.005    0.000    0.051    0.000 manager.py:29(lookup)
     4178    0.004    0.000    0.051    0.000 initialise.py:37(init)
        1    0.000    0.000    0.051    0.051 __init__.py:901(entry_points)
20307/20299    0.004    0.000    0.050    0.000 manager.py:40(__getitem__)
      403    0.000    0.000    0.050    0.000 __init__.py:910(<genexpr>)
      916    0.001    0.000    0.050    0.000 lowering.py:1531(alloca)
      196    0.000    0.000    0.050    0.000 postproc.py:158(_insert_var_dels)
        1    0.000    0.000    0.050    0.050 _axes.py:1(<module>)
  212/196    0.011    0.000    0.049    0.000 postproc.py:179(_patch_var_dels)
       76    0.000    0.000    0.049    0.001 interpreter.py:1438(post_process)
   119/46    0.006    0.000    0.049    0.001 ir_utils.py:1060(apply_copy_propagate)
     2628    0.009    0.000    0.049    0.000 instructions.py:68(__init__)
      837    0.002    0.000    0.049    0.000 analysis.py:60(compute_live_map)
169096/165627    0.020    0.000    0.048    0.000 {built-in method builtins.repr}
      854    0.001    0.000    0.048    0.000 npydecl.py:201(generic)
     1980    0.001    0.000    0.048    0.000 inspect.py:3333(signature)
      223    0.000    0.000    0.048    0.000 artist.py:1422(__init__)
 7271/569    0.029    0.000    0.048    0.000 ir_utils.py:1563(build_definitions)
      891    0.004    0.000    0.047    0.000 npydecl.py:97(generic)
      223    0.014    0.000    0.047    0.000 artist.py:1442(get_aliases)
     8356    0.005    0.000    0.047    0.000 initialise.py:111(wrap_stream)
     1980    0.001    0.000    0.047    0.000 inspect.py:3071(from_callable)
     1674    0.002    0.000    0.046    0.000 analysis.py:71(fix_point)
      833    0.000    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
2115/1981    0.008    0.000    0.046    0.000 inspect.py:2491(_signature_from_callable)
       60    0.002    0.000    0.046    0.001 ssa.py:146(_find_defs_violators)
      833    0.001    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
     3554    0.001    0.000    0.045    0.000 base.py:42(find)
    73/65    0.001    0.000    0.045    0.001 parfor.py:4785(remove_dead_parfor_recursive)
      916    0.001    0.000    0.045    0.000 lowering.py:1536(alloca_lltype)
      103    0.001    0.000    0.045    0.000 codegen.py:773(_verify_declare_only_symbols)
      359    0.000    0.000    0.044    0.000 base.py:1100(get_abi_sizeof)
    24089    0.013    0.000    0.044    0.000 weakref.py:414(__getitem__)
     9725    0.005    0.000    0.044    0.000 __init__.py:280(_compile)
  230/226    0.001    0.000    0.044    0.000 models.py:551(_as)
     7802    0.008    0.000    0.044    0.000 builder.py:769(store)
        1    0.000    0.000    0.044    0.044 _sketches.py:1(<module>)
     2206    0.003    0.000    0.044    0.000 builder.py:297(if_then)
     39/6    0.000    0.000    0.043    0.007 parfor.py:3512(get_parfor_params)
    57909    0.009    0.000    0.043    0.000 templates.py:1321(new_registrations)
      359    0.000    0.000    0.043    0.000 types.py:48(get_abi_size)
87344/68831    0.025    0.000    0.043    0.000 abstract.py:121(__hash__)
   468039    0.043    0.000    0.043    0.000 {method 'append' of 'list' objects}
       76    0.004    0.000    0.043    0.001 byteflow.py:94(run)
       74    0.001    0.000    0.043    0.001 lowering.py:29(__init__)
29684/25710    0.008    0.000    0.043    0.000 contextlib.py:141(__exit__)
       72    0.000    0.000    0.042    0.001 callwrapper.py:20(add_arg)
  845/599    0.001    0.000    0.042    0.000 context.py:415(_load_builtins)
        2    0.000    0.000    0.042    0.021 __config__.py:1(<module>)
    14454    0.040    0.000    0.041    0.000 values.py:860(__init__)
     7352    0.003    0.000    0.041    0.000 values.py:1051(__init__)
     8356    0.011    0.000    0.041    0.000 ansitowin32.py:81(__init__)
      224    0.001    0.000    0.040    0.000 codegen.py:684(_get_module_for_linking)
   117749    0.017    0.000    0.040    0.000 <frozen abc>:117(__instancecheck__)
      252    0.000    0.000    0.039    0.000 ir.py:1542(infer_constant)
       60    0.000    0.000    0.039    0.001 arrayobj.py:480(getitem_arraynd_intp)
     4465    0.012    0.000    0.039    0.000 utils.py:346(order_by_target_specificity)
     6168    0.007    0.000    0.039    0.000 base.py:352(install_registry)
      316    0.001    0.000    0.039    0.000 templates.py:900(_get_target_registry)
  365/252    0.000    0.000    0.039    0.000 consts.py:24(infer_constant)
       36    0.000    0.000    0.039    0.001 imputils.py:241(iternext_wrapper)
        5    0.000    0.000    0.039    0.008 parfor.py:2057(_arrayexpr_to_parfor)
     1069    0.002    0.000    0.039    0.000 base.py:49(_find)
   292958    0.039    0.000    0.039    0.000 {method 'startswith' of 'str' objects}
      845    0.002    0.000    0.039    0.000 context.py:700(load_additional_registries)
      359    0.002    0.000    0.039    0.000 types.py:33(_get_ll_pointer_type)
       15    0.000    0.000    0.038    0.003 parfor.py:3414(lower_parfor_sequential)
