OptCythonOMPRun.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.063, Time: 0.134559 s
         1019343 function calls (1004004 primitive calls) in 0.656 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 artist.py:1(<module>)
     7315    0.003    0.000    0.003    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.003    0.003 random.py:1(<module>)
    45/12    0.000    0.000    0.003    0.000 typing.py:1285(__getitem__)
      704    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      588    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
        1    0.000    0.000    0.003    0.003 table.py:1(<module>)
      431    0.002    0.000    0.003    0.000 enum.py:254(__set_name__)
       51    0.001    0.000    0.003    0.000 linalg.py:1193(eig)
        1    0.000    0.000    0.003    0.003 mathtext.py:1(<module>)
      712    0.002    0.000    0.003    0.000 functools.py:35(update_wrapper)
        2    0.000    0.000    0.003    0.001 shape_base.py:1(<module>)
       34    0.003    0.000    0.003    0.000 {built-in method _io.open}
        2    0.000    0.000    0.003    0.001 __init__.py:12(__getattr__)
        1    0.000    0.000    0.003    0.003 cm.py:32(_gen_cmap_registry)
       12    0.000    0.000    0.003    0.000 core.py:1076(parse_string)
       15    0.001    0.000    0.003    0.000 typing.py:2800(__new__)
       37    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
     6450    0.002    0.000    0.003    0.000 enum.py:726(__call__)
      481    0.000    0.000    0.003    0.000 {built-in method builtins.next}
       60    0.000    0.000    0.003    0.000 __init__.py:829(_open_file_or_url)
       33    0.000    0.000    0.003    0.000 contextlib.py:132(__enter__)
        1    0.000    0.000    0.003    0.003 subprocess.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _secondary_axes.py:1(<module>)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
      793    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.002    0.002 transforms.py:1(<module>)
       37    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
      634    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
       13    0.000    0.000    0.002    0.000 rcsetup.py:401(validate_font_properties)
       10    0.000    0.000    0.002    0.000 _fontconfig_pattern.py:80(parse_fontconfig_pattern)
      317    0.000    0.000    0.002    0.000 function_base.py:497(add_newdoc)
        1    0.000    0.000    0.002    0.002 _internal.py:1(<module>)
        2    0.000    0.000    0.002    0.001 version.py:1(<module>)
       15    0.000    0.000    0.002    0.000 typing.py:2781(_make_nmtuple)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
      409    0.000    0.000    0.002    0.000 rcsetup.py:307(validate_color)
        1    0.000    0.000    0.002    0.002 font_manager.py:1564(_load_fontmanager)
        1    0.000    0.000    0.002    0.002 _mathtext.py:1(<module>)
      340    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
   306/12    0.001    0.000    0.002    0.000 core.py:776(_parseNoCache)
      526    0.001    0.000    0.002    0.000 enum.py:390(__setitem__)
    72/12    0.000    0.000    0.002    0.000 core.py:3861(parseImpl)
        1    0.000    0.000    0.002    0.002 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _dtype_like.py:1(<module>)
        1    0.000    0.000    0.002    0.002 font_manager.py:970(json_load)
    45/12    0.000    0.000    0.002    0.000 typing.py:1317(_determine_new_args)
        2    0.000    0.000    0.002    0.001 exceptions.py:1(<module>)
      111    0.000    0.000    0.002    0.000 rcsetup.py:88(f)
        1    0.000    0.000    0.002    0.002 __init__.py:274(load)
      278    0.000    0.000    0.002    0.000 overrides.py:83(verify_matching_signatures)
    45/12    0.000    0.000    0.002    0.000 typing.py:1346(_make_substitution)
     2674    0.001    0.000    0.002    0.000 cbook.py:405(_strip_comment)
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
        9    0.000    0.000    0.002    0.000 core.py:5392(__init__)
        1    0.000    0.000    0.002    0.002 dates.py:1(<module>)
       90    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.002    0.002 cbook.py:1(<module>)
     1672    0.001    0.000    0.002    0.000 typing.py:1206(__setattr__)
        1    0.000    0.000    0.002    0.002 backend_tools.py:1(<module>)
     29/8    0.000    0.000    0.002    0.000 core.py:4379(leave_whitespace)
     6980    0.001    0.000    0.002    0.000 _parser.py:168(__getitem__)
      409    0.000    0.000    0.002    0.000 core.py:499(copy)
    31426    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.002    0.002 _tricontour.py:1(<module>)
      201    0.000    0.000    0.002    0.000 _compiler.py:511(_compile_info)
      793    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.002    0.002 ImagePalette.py:1(<module>)
      412    0.000    0.000    0.002    0.000 colors.py:221(is_color_like)
        1    0.000    0.000    0.002    0.002 spines.py:1(<module>)
       32    0.000    0.000    0.002    0.000 colors.py:1036(from_list)
       28    0.001    0.000    0.002    0.000 util.py:182(_collapse_string_to_ranges)
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
      114    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
      409    0.001    0.000    0.002    0.000 copy.py:61(copy)
      356    0.000    0.000    0.002    0.000 inspect.py:795(_finddoc)
        8    0.000    0.000    0.002    0.000 core.py:2678(__init__)
      241    0.000    0.000    0.002    0.000 rcsetup.py:279(validate_color_for_prop_cycle)
       14    0.000    0.000    0.002    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
    10881    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      356    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.000    0.000    0.002    0.002 layout_engine.py:1(<module>)
     55/8    0.000    0.000    0.002    0.000 core.py:3635(leave_whitespace)
        1    0.000    0.000    0.002    0.002 __init__.py:299(loads)
        1    0.000    0.000    0.001    0.001 decoder.py:332(decode)
        1    0.000    0.000    0.001    0.001 _globals.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decoder.py:343(raw_decode)
     4814    0.001    0.000    0.001    0.000 _parser.py:261(get)
      438    0.000    0.000    0.001    0.000 colors.py:268(to_rgba)
     1185    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
        2    0.000    0.000    0.001    0.001 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.001    0.001 version.py:161(Version)
       18    0.000    0.000    0.001    0.000 rcsetup.py:662(cycler)
      793    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
    10294    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
   114/57    0.000    0.000    0.001    0.000 core.py:3722(copy)
      605    0.000    0.000    0.001    0.000 _inspect.py:96(getargspec)
        3    0.000    0.000    0.001    0.000 linecache.py:26(getline)
      202    0.000    0.000    0.001    0.000 fromnumeric.py:71(_wrapreduction)
        3    0.000    0.000    0.001    0.000 linecache.py:36(getlines)
        1    0.000    0.000    0.001    0.001 axes3d.py:42(Axes3D)
 1196/392    0.001    0.000    0.001    0.000 _parser.py:178(getwidth)
        2    0.000    0.000    0.001    0.001 linecache.py:80(updatecache)
        2    0.000    0.000    0.001    0.001 polynomial.py:1(<module>)
      356    0.001    0.000    0.001    0.000 {built-in method _imp.find_frozen}
       65    0.000    0.000    0.001    0.000 deprecation.py:128(deprecate)
     1185    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     4430    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
     2005    0.001    0.000    0.001    0.000 typing.py:1152(_is_dunder)
      402    0.000    0.000    0.001    0.000 enum.py:1562(__and__)
      248    0.000    0.000    0.001    0.000 typing.py:1165(__init__)
      294    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      793    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.001    0.001 tz.py:1(<module>)
       18    0.000    0.000    0.001    0.000 core.py:262(_trim_arity)
      125    0.001    0.000    0.001    0.000 _compiler.py:243(_optimize_charset)
      340    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       14    0.000    0.000    0.001    0.000 core.py:595(set_parse_action)
       22    0.000    0.000    0.001    0.000 core.py:4779(parseImpl)
 1619/192    0.000    0.000    0.001    0.000 <frozen abc>:121(__subclasscheck__)
        1    0.000    0.000    0.001    0.001 units.py:1(<module>)
      252    0.000    0.000    0.001    0.000 typing.py:262(_collect_parameters)
        1    0.000    0.000    0.001    0.001 widgets.py:1(<module>)
     5414    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
 1619/192    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.001    0.001 api.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _char_codes.py:1(<module>)
       39    0.000    0.000    0.001    0.000 typing.py:521(__getitem__)
        2    0.000    0.000    0.001    0.001 core.py:5684(srange)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        1    0.000    0.000    0.001    0.001 traceback.py:221(extract_stack)
        1    0.000    0.000    0.001    0.001 traceback.py:377(extract)
     6078    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.001    0.001 traceback.py:399(_extract_from_extended_frame_gen)
      254    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       36    0.000    0.000    0.001    0.000 traceback.py:318(line)
        1    0.000    0.000    0.001    0.001 dviread.py:1(<module>)
       39    0.000    0.000    0.001    0.000 typing.py:753(Literal)
        1    0.000    0.000    0.001    0.001 ExifTags.py:21(Base)
      588    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.001    0.001 scimath.py:1(<module>)
      169    0.000    0.000    0.001    0.000 colors.py:310(_to_rgba_no_colorcycle)
  266/157    0.000    0.000    0.001    0.000 core.py:1857(name)
     9280    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        2    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _methods.py:1(<module>)
       12    0.000    0.000    0.001    0.000 typing.py:1580(copy_with)
      465    0.000    0.000    0.001    0.000 font_manager.py:928(_json_decode)
  215/110    0.000    0.000    0.001    0.000 core.py:1832(default_name)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
      360    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.001    0.001 decimal.py:1(<module>)
       14    0.000    0.000    0.001    0.000 core.py:115(doc_note)
       37    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
        2    0.000    0.000    0.001    0.000 dataclasses.py:1450(make_dataclass)
      100    0.000    0.000    0.001    0.000 fromnumeric.py:2979(prod)
        1    0.000    0.000    0.001    0.001 _afm.py:1(<module>)
    38/18    0.000    0.000    0.001    0.000 core.py:4373(parseImpl)
      638    0.001    0.000    0.001    0.000 inspect.py:176(get_annotations)
        3    0.000    0.000    0.001    0.000 _common.py:1(<module>)
       62    0.000    0.000    0.001    0.000 core.py:1352(__add__)
       70    0.000    0.000    0.001    0.000 deprecation.py:257(rename_parameter)
      340    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
        2    0.000    0.000    0.001    0.000 dataclasses.py:1247(dataclass)
     25/6    0.000    0.000    0.001    0.000 core.py:3816(streamline)
        2    0.000    0.000    0.001    0.000 dataclasses.py:1264(wrap)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
       67    0.001    0.000    0.001    0.000 colors.py:1089(reversed)
     6448    0.001    0.000    0.001    0.000 enum.py:1129(__new__)
      713    0.001    0.000    0.001    0.000 inspect.py:748(unwrap)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
       26    0.000    0.000    0.001    0.000 deprecation.py:416(make_keyword_only)
        2    0.000    0.000    0.001    0.000 dataclasses.py:921(_process_class)
      511    0.000    0.000    0.001    0.000 __init__.py:164(match)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
     35/5    0.000    0.000    0.001    0.000 core.py:3675(streamline)
   256/18    0.000    0.000    0.001    0.000 ast.py:403(visit)
      144    0.000    0.000    0.001    0.000 typing.py:1627(__hash__)
        2    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
    26/14    0.000    0.000    0.001    0.000 core.py:4108(parseImpl)
        1    0.000    0.000    0.001    0.001 rrule.py:1(<module>)
   256/18    0.000    0.000    0.001    0.000 ast.py:409(generic_visit)
        1    0.000    0.000    0.001    0.001 helpers.py:648(make_html_tags)
        1    0.000    0.000    0.001    0.001 helpers.py:590(_makeTags)
1854/1684    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
       12    0.000    0.000    0.001    0.000 __init__.py:223(define_aliases)
     5767    0.001    0.000    0.001    0.000 _parser.py:240(__next)
     6438    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
      448    0.000    0.000    0.001    0.000 __init__.py:179(sub)
     2407    0.001    0.000    0.001    0.000 _parser.py:176(append)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
      356    0.000    0.000    0.001    0.000 inspect.py:785(_findclass)
       63    0.000    0.000    0.001    0.000 core.py:3783(__init__)
