OptimisedNumPy.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.315, Time: 2.556624 s
         4043099 function calls (4027760 primitive calls) in 3.129 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      437    0.000    0.000    0.007    0.000 artist.py:1536(number_of_parameters)
      201    0.000    0.000    0.007    0.000 _compiler.py:573(_code)
        1    0.000    0.000    0.007    0.007 secrets.py:1(<module>)
        1    0.000    0.000    0.007    0.007 category.py:1(<module>)
       94    0.000    0.000    0.007    0.000 __init__.py:1391(_preprocess_data)
      954    0.000    0.000    0.007    0.000 artist.py:1542(is_alias)
        1    0.000    0.000    0.006    0.006 numeric.py:1(<module>)
    54438    0.006    0.000    0.006    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.006    0.006 legend.py:342(Legend)
        1    0.000    0.000    0.006    0.006 scale.py:1(<module>)
        7    0.000    0.000    0.006    0.001 legend_handler.py:171(__init__)
       12    0.006    0.000    0.006    0.000 legend_handler.py:62(__init__)
        1    0.000    0.000    0.006    0.006 legend_handler.py:524(__init__)
16104/16091    0.005    0.000    0.006    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.006    0.006 axis3d.py:1(<module>)
10842/10808    0.002    0.000    0.005    0.000 {built-in method builtins.hasattr}
       51    0.002    0.000    0.005    0.000 OptimisedNumPy.py:173(get_order)
     4252    0.002    0.000    0.005    0.000 artist.py:1555(aliased_name)
 1009/201    0.002    0.000    0.005    0.000 _compiler.py:37(_compile)
        2    0.000    0.000    0.005    0.003 common.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _parser.py:1(<module>)
3634/3203    0.002    0.000    0.005    0.000 {built-in method __new__ of type object at 0x102ff72a8}
      792    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.005    0.005 PngImagePlugin.py:1(<module>)
        1    0.000    0.000    0.005    0.005 quiver.py:1(<module>)
        1    0.000    0.000    0.005    0.005 ticker.py:1(<module>)
       32    0.001    0.000    0.005    0.000 enum.py:528(__new__)
        1    0.000    0.000    0.004    0.004 pathlib.py:1(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:377(_mac_os_check)
        1    0.000    0.000    0.004    0.004 cm.py:1(<module>)
        1    0.000    0.000    0.004    0.004 ExifTags.py:1(<module>)
      588    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
        2    0.000    0.000    0.004    0.002 shape_base.py:1(<module>)
        1    0.001    0.001    0.004    0.004 polynomial.py:453(polyfit)
     8914    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
        1    0.000    0.000    0.004    0.004 mathtext.py:1(<module>)
       48    0.000    0.000    0.004    0.000 __init__.py:1347(_add_data_doc)
        1    0.000    0.000    0.004    0.004 helpers.py:1(<module>)
      433    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       18    0.000    0.000    0.004    0.000 rcsetup.py:799(validate_cycler)
      294    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      875    0.003    0.000    0.004    0.000 inspect.py:3019(__init__)
        1    0.000    0.000    0.004    0.004 common.py:8(pyparsing_common)
       55    0.002    0.000    0.004    0.000 {built-in method builtins.eval}
       33    0.003    0.000    0.003    0.000 {built-in method _io.open}
      359    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.003    0.003 subprocess.py:1(<module>)
      317    0.001    0.000    0.003    0.000 overrides.py:142(decorator)
        3    0.000    0.000    0.003    0.001 patches.py:2211(__init_subclass__)
        6    0.000    0.000    0.003    0.001 patches.py:2253(pprint_styles)
        1    0.000    0.000    0.003    0.003 transforms.py:1(<module>)
    33885    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.003    0.003 artist.py:1(<module>)
        1    0.000    0.000    0.003    0.003 hmac.py:1(<module>)
      344    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       37    0.001    0.000    0.003    0.000 __init__.py:355(namedtuple)
      248    0.000    0.000    0.003    0.000 typing.py:1260(__init__)
        2    0.000    0.000    0.003    0.002 __init__.py:12(__getattr__)
   104/92    0.000    0.000    0.003    0.000 typing.py:515(__getitem__)
        1    0.000    0.000    0.003    0.003 _mathtext.py:1(<module>)
       92    0.000    0.000    0.003    0.000 typing.py:694(Union)
     3227    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     7315    0.003    0.000    0.003    0.000 {method 'expandtabs' of 'str' objects}
      431    0.002    0.000    0.003    0.000 enum.py:254(__set_name__)
        1    0.000    0.000    0.003    0.003 table.py:1(<module>)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _internal.py:1(<module>)
        1    0.000    0.000    0.003    0.003 cm.py:32(_gen_cmap_registry)
      481    0.000    0.000    0.003    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.003    0.003 fromnumeric.py:1(<module>)
       12    0.000    0.000    0.003    0.000 core.py:1076(parse_string)
      712    0.002    0.000    0.003    0.000 functools.py:35(update_wrapper)
       60    0.000    0.000    0.003    0.000 __init__.py:829(_open_file_or_url)
       33    0.000    0.000    0.003    0.000 contextlib.py:132(__enter__)
        1    0.000    0.000    0.003    0.003 cbook.py:1(<module>)
        1    0.000    0.000    0.003    0.003 font_manager.py:1564(_load_fontmanager)
        1    0.000    0.000    0.003    0.003 decoder.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _secondary_axes.py:1(<module>)
     6450    0.001    0.000    0.003    0.000 enum.py:726(__call__)
        1    0.000    0.000    0.002    0.002 font_manager.py:970(json_load)
      317    0.000    0.000    0.002    0.000 function_base.py:497(add_newdoc)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
        1    0.002    0.002    0.002    0.002 linalg.py:2191(lstsq)
        1    0.000    0.000    0.002    0.002 _array_like.py:1(<module>)
        1    0.000    0.000    0.002    0.002 dates.py:1(<module>)
      588    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       50    0.002    0.000    0.002    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
       13    0.000    0.000    0.002    0.000 rcsetup.py:401(validate_font_properties)
       10    0.000    0.000    0.002    0.000 _fontconfig_pattern.py:80(parse_fontconfig_pattern)
        2    0.000    0.000    0.002    0.001 exceptions.py:1(<module>)
        1    0.000    0.000    0.002    0.002 scanner.py:1(<module>)
        2    0.000    0.000    0.002    0.001 version.py:1(<module>)
       37    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        1    0.000    0.000    0.002    0.002 ImagePalette.py:1(<module>)
      409    0.000    0.000    0.002    0.000 rcsetup.py:307(validate_color)
      792    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.002    0.002 backend_tools.py:1(<module>)
      633    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      663    0.002    0.000    0.002    0.000 {built-in method builtins.max}
      703    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
       15    0.000    0.000    0.002    0.000 typing.py:2800(__new__)
      526    0.001    0.000    0.002    0.000 enum.py:390(__setitem__)
        1    0.000    0.000    0.002    0.002 _dtype_like.py:1(<module>)
   306/12    0.000    0.000    0.002    0.000 core.py:776(_parseNoCache)
      111    0.000    0.000    0.002    0.000 rcsetup.py:88(f)
    72/12    0.000    0.000    0.002    0.000 core.py:3861(parseImpl)
        1    0.001    0.001    0.002    0.002 scimath.py:1(<module>)
     2674    0.001    0.000    0.002    0.000 cbook.py:405(_strip_comment)
      339    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        9    0.000    0.000    0.002    0.000 core.py:5392(__init__)
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
        2    0.000    0.000    0.002    0.001 polynomial.py:1(<module>)
     29/8    0.000    0.000    0.002    0.000 core.py:4379(leave_whitespace)
        1    0.000    0.000    0.002    0.002 layout_engine.py:1(<module>)
       37    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.002    0.002 __init__.py:274(load)
      409    0.000    0.000    0.002    0.000 core.py:499(copy)
     6980    0.001    0.000    0.002    0.000 _parser.py:168(__getitem__)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _tricontour.py:1(<module>)
      531    0.001    0.000    0.002    0.000 typing.py:175(_type_check)
       32    0.000    0.000    0.002    0.000 colors.py:1036(from_list)
      412    0.000    0.000    0.002    0.000 colors.py:221(is_color_like)
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
      201    0.000    0.000    0.002    0.000 _compiler.py:511(_compile_info)
      278    0.000    0.000    0.002    0.000 overrides.py:83(verify_matching_signatures)
        1    0.000    0.000    0.002    0.002 _globals.py:1(<module>)
        1    0.000    0.000    0.002    0.002 spines.py:1(<module>)
       15    0.000    0.000    0.002    0.000 typing.py:2781(_make_nmtuple)
       28    0.001    0.000    0.002    0.000 util.py:182(_collapse_string_to_ranges)
    31426    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
        8    0.000    0.000    0.002    0.000 core.py:2678(__init__)
      241    0.000    0.000    0.002    0.000 rcsetup.py:279(validate_color_for_prop_cycle)
      409    0.001    0.000    0.002    0.000 copy.py:61(copy)
      792    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
      114    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.002    0.002 __init__.py:299(loads)
    45/12    0.000    0.000    0.002    0.000 typing.py:1285(__getitem__)
        1    0.000    0.000    0.002    0.002 decoder.py:332(decode)
        1    0.000    0.000    0.001    0.001 decoder.py:343(raw_decode)
     55/8    0.000    0.000    0.001    0.000 core.py:3635(leave_whitespace)
      438    0.000    0.000    0.001    0.000 colors.py:268(to_rgba)
     1672    0.001    0.000    0.001    0.000 typing.py:1206(__setattr__)
        1    0.000    0.000    0.001    0.001 tz.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _methods.py:1(<module>)
     1185    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.001    0.001 version.py:161(Version)
      356    0.000    0.000    0.001    0.000 inspect.py:795(_finddoc)
       18    0.000    0.000    0.001    0.000 rcsetup.py:662(cycler)
     4814    0.001    0.000    0.001    0.000 _parser.py:261(get)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
   114/57    0.000    0.000    0.001    0.000 core.py:3722(copy)
        3    0.000    0.000    0.001    0.000 _common.py:1(<module>)
    10878    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 axes3d.py:42(Axes3D)
       51    0.001    0.000    0.001    0.000 numeric.py:932(tensordot)
      792    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.001    0.001 api.py:1(<module>)
     1185    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
       65    0.000    0.000    0.001    0.000 deprecation.py:128(deprecate)
       89    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
 1196/392    0.001    0.000    0.001    0.000 _parser.py:178(getwidth)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
      125    0.001    0.000    0.001    0.000 _compiler.py:243(_optimize_charset)
        2    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
    10293    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      402    0.000    0.000    0.001    0.000 enum.py:1562(__and__)
        1    0.000    0.000    0.001    0.001 rrule.py:1(<module>)
     4430    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      792    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
 1619/192    0.000    0.000    0.001    0.000 <frozen abc>:121(__subclasscheck__)
        1    0.000    0.000    0.001    0.001 _afm.py:1(<module>)
        1    0.000    0.000    0.001    0.001 widgets.py:1(<module>)
        1    0.000    0.000    0.001    0.001 units.py:1(<module>)
       18    0.000    0.000    0.001    0.000 core.py:262(_trim_arity)
      605    0.000    0.000    0.001    0.000 _inspect.py:96(getargspec)
 1619/192    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
       14    0.000    0.000    0.001    0.000 core.py:115(doc_note)
        1    0.000    0.000    0.001    0.001 dviread.py:1(<module>)
      339    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       14    0.000    0.000    0.001    0.000 core.py:595(set_parse_action)
        1    0.000    0.000    0.001    0.001 _char_codes.py:1(<module>)
       22    0.000    0.000    0.001    0.000 core.py:4779(parseImpl)
       39    0.000    0.000    0.001    0.000 typing.py:521(__getitem__)
       51    0.000    0.000    0.001    0.000 function_base.py:5011(meshgrid)
     5414    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.001    0.001 base64.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _mathtext.py:1814(Parser)
       39    0.000    0.000    0.001    0.000 typing.py:753(Literal)
      169    0.000    0.000    0.001    0.000 colors.py:310(_to_rgba_no_colorcycle)
        1    0.000    0.000    0.001    0.001 ExifTags.py:21(Base)
      465    0.000    0.000    0.001    0.000 font_manager.py:928(_json_decode)
  266/157    0.000    0.000    0.001    0.000 core.py:1857(name)
       51    0.001    0.000    0.001    0.000 linalg.py:1090(eigvalsh)
        1    0.000    0.000    0.001    0.001 traceback.py:221(extract_stack)
        2    0.000    0.000    0.001    0.001 core.py:5684(srange)
        1    0.000    0.000    0.001    0.001 traceback.py:377(extract)
        1    0.000    0.000    0.001    0.001 traceback.py:399(_extract_from_extended_frame_gen)
      248    0.000    0.000    0.001    0.000 typing.py:1165(__init__)
       36    0.000    0.000    0.001    0.000 traceback.py:318(line)
  215/110    0.000    0.000    0.001    0.000 core.py:1832(default_name)
        2    0.000    0.000    0.001    0.000 linecache.py:26(getline)
        2    0.000    0.000    0.001    0.000 linecache.py:36(getlines)
    45/12    0.000    0.000    0.001    0.000 typing.py:1317(_determine_new_args)
     2005    0.000    0.000    0.001    0.000 typing.py:1152(_is_dunder)
        1    0.000    0.000    0.001    0.001 linecache.py:80(updatecache)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
      252    0.000    0.000    0.001    0.000 typing.py:262(_collect_parameters)
     6078    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     9278    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
    45/12    0.000    0.000    0.001    0.000 typing.py:1346(_make_substitution)
        2    0.000    0.000    0.001    0.000 dataclasses.py:1450(make_dataclass)
        1    0.000    0.000    0.001    0.001 decimal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
      404    0.000    0.000    0.001    0.000 typing.py:730(<genexpr>)
        1    0.000    0.000    0.001    0.001 getlimits.py:162(_register_known_types)
       62    0.000    0.000    0.001    0.000 core.py:1352(__add__)
        1    0.001    0.001    0.001    0.001 linalg.py:492(inv)
       70    0.000    0.000    0.001    0.000 deprecation.py:257(rename_parameter)
        2    0.000    0.000    0.001    0.000 dataclasses.py:1247(dataclass)
        2    0.000    0.000    0.001    0.000 dataclasses.py:1264(wrap)
      638    0.001    0.000    0.001    0.000 inspect.py:176(get_annotations)
     25/6    0.000    0.000    0.001    0.000 core.py:3816(streamline)
        2    0.000    0.000    0.001    0.000 dataclasses.py:921(_process_class)
       67    0.001    0.000    0.001    0.000 colors.py:1089(reversed)
       26    0.000    0.000    0.001    0.000 deprecation.py:416(make_keyword_only)
      359    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
     35/5    0.000    0.000    0.001    0.000 core.py:3675(streamline)
       25    0.001    0.000    0.001    0.000 {built-in method unicodedata.name}
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
    38/18    0.000    0.000    0.001    0.000 core.py:4373(parseImpl)
        1    0.000    0.000    0.001    0.001 uuid.py:1(<module>)
      713    0.000    0.000    0.001    0.000 inspect.py:748(unwrap)
      511    0.000    0.000    0.001    0.000 __init__.py:164(match)
        1    0.000    0.000    0.001    0.001 helpers.py:648(make_html_tags)
      339    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 expat.py:1(<module>)
     6448    0.001    0.000    0.001    0.000 enum.py:1129(__new__)
        1    0.000    0.000    0.001    0.001 _ufunc_config.py:1(<module>)
      144    0.000    0.000    0.001    0.000 typing.py:1627(__hash__)
        1    0.000    0.000    0.001    0.001 helpers.py:590(_makeTags)
   256/18    0.000    0.000    0.001    0.000 ast.py:403(visit)
       12    0.000    0.000    0.001    0.000 __init__.py:223(define_aliases)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
     2407    0.000    0.000    0.001    0.000 _parser.py:176(append)
   256/18    0.000    0.000    0.001    0.000 ast.py:409(generic_visit)
1854/1684    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 path.py:1(<module>)
       63    0.000    0.000    0.001    0.000 core.py:3783(__init__)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 core.py:400(ParserElement)
     5767    0.001    0.000    0.001    0.000 _parser.py:240(__next)
       51    0.000    0.000    0.001    0.000 stride_tricks.py:480(broadcast_arrays)
     6438    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
    26/14    0.000    0.000    0.001    0.000 core.py:4108(parseImpl)
       44    0.000    0.000    0.001    0.000 _base.py:66(__set_name__)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
     27/7    0.000    0.000    0.001    0.000 core.py:4409(streamline)
     5355    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
      448    0.000    0.000    0.001    0.000 __init__.py:179(sub)
       79    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     78/4    0.000    0.000    0.001    0.000 core.py:909(_parseCache)
       32    0.000    0.000    0.001    0.000 colors.py:409(to_rgba_array)
      356    0.000    0.000    0.001    0.000 inspect.py:785(_findclass)
        1    0.000    0.000    0.001    0.001 heapq.py:1(<module>)
     2771    0.001    0.000    0.001    0.000 inspect.py:3066(<genexpr>)
      409    0.000    0.000    0.001    0.000 copy.py:247(_reconstruct)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1171(exec_module)
