OptNumbNoPar.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.267, Time: 0.698412 s
         9704223 function calls (9151302 primitive calls) in 3.807 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       49    0.001    0.000    0.065    0.001 inline_closurecall.py:80(run)
     2146    0.002    0.000    0.065    0.000 context.py:360(_call_incref_decref)
    21742    0.005    0.000    0.065    0.000 base.py:1246(enter_fn)
        1    0.000    0.000    0.064    0.064 rcsetup.py:1(<module>)
        1    0.000    0.000    0.063    0.063 backend_bases.py:1(<module>)
     7315    0.003    0.000    0.062    0.000 inspect.py:857(getdoc)
  497/251    0.000    0.000    0.061    0.000 context.py:153(refresh)
      402    0.000    0.000    0.059    0.000 __init__.py:469(entry_points)
       49    0.000    0.000    0.059    0.001 untyped_passes.py:244(run_pass)
     6175    0.005    0.000    0.058    0.000 builder.py:967(extract_value)
     6139    0.003    0.000    0.057    0.000 module.py:220(__next__)
6293/2146    0.007    0.000    0.057    0.000 context.py:343(get_meminfos)
        3    0.000    0.000    0.056    0.019 registry.py:1(<module>)
15827/13996    0.005    0.000    0.056    0.000 contextlib.py:132(__enter__)
        1    0.000    0.000    0.055    0.055 dispatcher.py:1(<module>)
      402    0.001    0.000    0.055    0.000 __init__.py:811(read_text)
        1    0.000    0.000    0.054    0.054 text.py:1(<module>)
       49    0.000    0.000    0.054    0.001 ssa.py:27(reconstruct_ssa)
       49    0.000    0.000    0.053    0.001 ssa.py:48(_run_ssa)
        2    0.000    0.000    0.053    0.027 collections.py:1(<module>)
      402    0.000    0.000    0.053    0.000 pathlib.py:1022(read_text)
        1    0.000    0.000    0.053    0.053 arrayobj.py:5401(codegen)
      112    0.001    0.000    0.052    0.000 callconv.py:868(call_function)
        1    0.000    0.000    0.052    0.052 compiler.py:1(<module>)
        1    0.000    0.000    0.050    0.050 _axes.py:1(<module>)
     6175    0.004    0.000    0.050    0.000 instructions.py:666(__init__)
      719    0.049    0.000    0.049    0.000 {built-in method marshal.loads}
      442    0.001    0.000    0.049    0.000 postproc.py:52(deadmaps)
     1091    0.001    0.000    0.048    0.000 errors.py:536(__init__)
     3193    0.008    0.000    0.047    0.000 targetconfig.py:196(values)
73958/73500    0.020    0.000    0.047    0.000 {method 'join' of 'str' objects}
      223    0.000    0.000    0.045    0.000 artist.py:1422(__init__)
      223    0.014    0.000    0.045    0.000 artist.py:1442(get_aliases)
      443    0.041    0.000    0.044    0.000 {built-in method _io.open}
    28750    0.008    0.000    0.044    0.000 values.py:557(_set_name)
     1196    0.001    0.000    0.044    0.000 lowering.py:1506(delvar)
      832    0.003    0.000    0.044    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     1356    0.001    0.000    0.044    0.000 lowering.py:1562(decref)
     2520    0.006    0.000    0.043    0.000 errors.py:320(_markup)
        1    0.000    0.000    0.041    0.041 _sketches.py:1(<module>)
     1393    0.000    0.000    0.041    0.000 context.py:384(decref)
  600/481    0.001    0.000    0.041    0.000 base.py:526(get_function)
4473/2259    0.004    0.000    0.041    0.000 context.py:428(install_registry)
     8847    0.004    0.000    0.041    0.000 __init__.py:280(_compile)
       50    0.000    0.000    0.040    0.001 codegen.py:1423(_add_module)
       50    0.000    0.000    0.040    0.001 codegen.py:1094(add_module)
        2    0.000    0.000    0.040    0.020 __config__.py:1(<module>)
      360    0.001    0.000    0.040    0.000 cgutils.py:99(__init__)
      402    0.000    0.000    0.039    0.000 pathlib.py:1005(open)
       49    0.001    0.000    0.039    0.001 ssa.py:146(_find_defs_violators)
       50    0.001    0.000    0.039    0.001 codegen.py:1087(_load_defined_symbols)
      330    0.001    0.000    0.039    0.000 module.py:11(parse_assembly)
       37    0.000    0.000    0.038    0.001 base.py:884(call_internal)
  497/251    0.001    0.000    0.038    0.000 context.py:415(_load_builtins)
3636/3260    0.002    0.000    0.038    0.000 ir_utils.py:1542(guard)
      828    0.000    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
     1103    0.001    0.000    0.037    0.000 context.py:374(resolve_value_type)
56286/55921    0.017    0.000    0.037    0.000 _utils.py:54(get_reference)
      828    0.001    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
     3976    0.002    0.000    0.037    0.000 value.py:157(name)
    28750    0.010    0.000    0.037    0.000 _utils.py:16(register)
      766    0.000    0.000    0.036    0.000 passmanagers.py:753(run)
        1    0.000    0.000    0.036    0.036 config.py:1(<module>)
     1966    0.001    0.000    0.036    0.000 errors.py:335(errmsg)
        1    0.000    0.000    0.035    0.035 colors.py:1(<module>)
127446/124813    0.015    0.000    0.034    0.000 {built-in method builtins.repr}
     2667    0.002    0.000    0.034    0.000 builder.py:756(load)
       37    0.000    0.000    0.034    0.001 base.py:896(call_internal_no_propagate)
       50    0.000    0.000    0.033    0.001 codegen.py:1326(_scan_and_fix_unresolved_refs)
      280    0.000    0.000    0.033    0.000 templates.py:900(_get_target_registry)
     1515    0.001    0.000    0.033    0.000 inspect.py:3333(signature)
      264    0.001    0.000    0.033    0.000 _compiler.py:740(compile)
        2    0.000    0.000    0.033    0.016 builtins.py:1(<module>)
     1081    0.001    0.000    0.033    0.000 lowering.py:1460(storevar)
     1515    0.001    0.000    0.033    0.000 inspect.py:3071(from_callable)
      208    0.000    0.000    0.033    0.000 ir.py:1542(infer_constant)
       49    0.004    0.000    0.032    0.001 byteflow.py:94(run)
     1153    0.004    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
  304/208    0.000    0.000    0.032    0.000 consts.py:24(infer_constant)
      147    0.000    0.000    0.032    0.000 postproc.py:158(_insert_var_dels)
      147    0.008    0.000    0.032    0.000 postproc.py:179(_patch_var_dels)
     1117    0.002    0.000    0.032    0.000 typeof.py:27(typeof)
1650/1516    0.005    0.000    0.032    0.000 inspect.py:2491(_signature_from_callable)
       49    0.000    0.000    0.032    0.001 interpreter.py:1438(post_process)
       49    0.000    0.000    0.032    0.001 typed_passes.py:557(run_pass)
       49    0.000    0.000    0.032    0.001 ir_utils.py:2238(check_and_legalize_ir)
    81155    0.019    0.000    0.032    0.000 targetconfig.py:111(getter)
  281/194    0.000    0.000    0.032    0.000 consts.py:56(_do_infer)
     2520    0.001    0.000    0.031    0.000 errors.py:243(__init__)
     3612    0.002    0.000    0.031    0.000 module.py:251(_next)
      246    0.000    0.000    0.031    0.000 templates.py:1047(__init__)
        4    0.000    0.000    0.031    0.008 arrayobj.py:4356(codegen)
        2    0.000    0.000    0.031    0.015 _base.py:1(<module>)
      587    0.001    0.000    0.031    0.000 npydecl.py:201(generic)
     2520    0.002    0.000    0.031    0.000 initialise.py:37(init)
    49820    0.014    0.000    0.030    0.000 event.py:100(__init__)
     2667    0.001    0.000    0.030    0.000 instructions.py:434(__init__)
        1    0.000    0.000    0.030    0.030 patches.py:1(<module>)
      213    0.000    0.000    0.030    0.000 errors.py:698(__init__)
      239    0.000    0.000    0.030    0.000 templates.py:1093(_init_once)
     3357    0.002    0.000    0.030    0.000 value.py:220(is_declaration)
      607    0.003    0.000    0.030    0.000 npydecl.py:97(generic)
    59658    0.021    0.000    0.030    0.000 pprint.py:102(_safe_tuple)
      223    0.009    0.000    0.029    0.000 artist.py:1517(get_setters)
     5040    0.003    0.000    0.029    0.000 initialise.py:111(wrap_stream)
      497    0.001    0.000    0.028    0.000 context.py:700(load_additional_registries)
        1    0.000    0.000    0.028    0.028 axes3d.py:1(<module>)
      203    0.000    0.000    0.028    0.000 cgutils.py:682(unpack_tuple)
        3    0.001    0.000    0.028    0.009 core.py:1(<module>)
57858/48013    0.016    0.000    0.027    0.000 abstract.py:121(__hash__)
      138    0.001    0.000    0.027    0.000 ir.py:112(strformat)
      446    0.001    0.000    0.027    0.000 analysis.py:60(compute_live_map)
      914    0.003    0.000    0.027    0.000 cgutils.py:362(alloca_once)
15827/14028    0.004    0.000    0.027    0.000 contextlib.py:141(__exit__)
        4    0.000    0.000    0.027    0.007 lowering.py:273(create_cpython_wrapper)
        4    0.000    0.000    0.027    0.007 cpu.py:181(create_cpython_wrapper)
      113    0.000    0.000    0.027    0.000 arrayobj.py:77(_make_refs)
11203/11057    0.003    0.000    0.026    0.000 manager.py:29(lookup)
      107    0.000    0.000    0.026    0.000 ir.py:611(infer_constant)
        1    0.000    0.000    0.026    0.026 _fontconfig_pattern.py:1(<module>)
      892    0.001    0.000    0.026    0.000 analysis.py:71(fix_point)
      442    0.001    0.000    0.026    0.000 postproc.py:46(livemap)
10096/10087    0.002    0.000    0.026    0.000 manager.py:40(__getitem__)
   141225    0.017    0.000    0.026    0.000 {method 'get' of 'dict' objects}
       67    0.000    0.000    0.026    0.000 pprint.py:473(_pprint_default_dict)
       49    0.000    0.000    0.026    0.001 typed_passes.py:883(run_pass)
     1412    0.001    0.000    0.026    0.000 base.py:42(find)
       49    0.000    0.000    0.025    0.001 lowering.py:29(__init__)
     5040    0.006    0.000    0.025    0.000 ansitowin32.py:81(__init__)
     2461    0.007    0.000    0.025    0.000 utils.py:346(order_by_target_specificity)
       41    0.000    0.000    0.025    0.001 imputils.py:192(imp)
       34    0.000    0.000    0.025    0.001 callconv.py:122(raise_error)
    35573    0.005    0.000    0.025    0.000 templates.py:1321(new_registrations)
     5778    0.002    0.000    0.025    0.000 __init__.py:174(search)
      753    0.000    0.000    0.025    0.000 context.py:378(incref)
   190794    0.024    0.000    0.024    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.024    0.024 special.py:1(<module>)
349335/343743    0.023    0.000    0.024    0.000 {built-in method builtins.len}
      197    0.000    0.000    0.024    0.000 module.py:167(link_in)
     1502    0.007    0.000    0.024    0.000 inspect.py:2387(_signature_from_function)
        4    0.000    0.000    0.023    0.006 context.py:1(<module>)
      872    0.001    0.000    0.023    0.000 context.py:263(resolve_getattr)
    27786    0.012    0.000    0.023    0.000 _utils.py:24(deduplicate)
    12322    0.007    0.000    0.023    0.000 weakref.py:414(__getitem__)
      486    0.000    0.000    0.023    0.000 templates.py:481(apply)
        9    0.000    0.000    0.023    0.003 _base.py:729(__init_subclass__)
      490    0.001    0.000    0.023    0.000 base.py:49(_find)
     3584    0.004    0.000    0.023    0.000 base.py:352(install_registry)
     1190    0.006    0.000    0.023    0.000 analysis.py:235(compute_cfg_from_blocks)
      490    0.001    0.000    0.022    0.000 templates.py:272(_select)
        1    0.000    0.000    0.022    0.022 ir_utils.py:574(dead_code_elimination)
    53893    0.008    0.000    0.022    0.000 <frozen abc>:117(__instancecheck__)
      490    0.004    0.000    0.022    0.000 context.py:592(resolve_overload)
       49    0.000    0.000    0.022    0.000 untyped_passes.py:138(run_pass)
      442    0.009    0.000    0.022    0.000 analysis.py:118(compute_dead_maps)
17406/16845    0.017    0.000    0.021    0.000 {built-in method __new__ of type object at 0x104fb32a8}
       49    0.001    0.000    0.021    0.000 typeinfer.py:1041(build_constraint)
     2527    0.001    0.000    0.021    0.000 module.py:240(_next)
65574/65339    0.008    0.000    0.021    0.000 {built-in method builtins.hasattr}
     1088    0.002    0.000    0.021    0.000 builder.py:297(if_then)
     2969    0.002    0.000    0.021    0.000 models.py:710(getter)
      107    0.000    0.000    0.021    0.000 __init__.py:226(compile)
3835/3798    0.003    0.000    0.021    0.000 abstract.py:61(__call__)
      127    0.000    0.000    0.021    0.000 base.py:412(declare_function)
        1    0.000    0.000    0.021    0.021 Image.py:1(<module>)
    29/28    0.000    0.000    0.021    0.001 imputils.py:333(wrapper)
     1275    0.000    0.000    0.021    0.000 typeinfer.py:1404(constrain_statement)
       49    0.000    0.000    0.021    0.000 lowering.py:342(init)
     3504    0.002    0.000    0.021    0.000 models.py:630(get)
       50    0.000    0.000    0.020    0.000 codegen.py:773(_verify_declare_only_symbols)
       49    0.002    0.000    0.020    0.000 lowering.py:358(_find_singly_assigned_variable)
   217397    0.020    0.000    0.020    0.000 {method 'append' of 'list' objects}
    52294    0.013    0.000    0.020    0.000 event.py:270(on_end)
     1061    0.001    0.000    0.020    0.000 typeinfer.py:1473(typeof_assign)
      113    0.001    0.000    0.020    0.000 codegen.py:684(_get_module_for_linking)
     7791    0.003    0.000    0.020    0.000 cpu_options.py:16(__repr__)
        4    0.000    0.000    0.020    0.005 ir_utils.py:589(remove_dead)
        1    0.000    0.000    0.020    0.020 callconv.py:1(<module>)
        1    0.000    0.000    0.019    0.019 cpu.py:1(<module>)
      204    0.000    0.000    0.019    0.000 ir_print.py:11(match)
      145    0.000    0.000    0.019    0.000 base.py:1100(get_abi_sizeof)
     2341    0.002    0.000    0.019    0.000 <frozen abc>:105(__new__)
       49    0.004    0.000    0.019    0.000 interpreter.py:982(peep_hole_delete_with_exit)
        3    0.000    0.000    0.019    0.006 base.py:1(<module>)
     1718    0.002    0.000    0.019    0.000 context.py:287(find_matching_getattr_template)
      145    0.000    0.000    0.019    0.000 types.py:48(get_abi_size)
        1    0.000    0.000    0.019    0.019 _laplacian.py:1(<module>)
      661    0.000    0.000    0.019    0.000 lowering.py:1556(incref)
      403    0.000    0.000    0.018    0.000 _itertools.py:4(unique_everseen)
       50    0.001    0.000    0.018    0.000 codegen.py:767(_finalize_dynamic_globals)
       20    0.000    0.000    0.018    0.001 lowering.py:796(lower_getitem)
      442    0.001    0.000    0.018    0.000 transforms.py:353(canonicalize_cfg)
     1301    0.001    0.000    0.018    0.000 cgutils.py:929(gep_inbounds)
     2277    0.001    0.000    0.018    0.000 lowering.py:1412(_alloca_var)
      615    0.006    0.000    0.018    0.000 numpy_support.py:357(ufunc_find_matching_loop)
        1    0.000    0.000    0.018    0.018 index_tricks.py:1(<module>)
      766    0.002    0.000    0.018    0.000 values.py:936(__init__)
      264    0.000    0.000    0.018    0.000 _parser.py:969(parse)
      204    0.000    0.000    0.018    0.000 inline_closurecall.py:1397(match)
      513    0.000    0.000    0.017    0.000 typeinfer.py:1493(resolve_value_type)
      136    0.000    0.000    0.017    0.000 _docstring.py:38(__call__)
     3195    0.017    0.000    0.017    0.000 {built-in method posix.stat}
     3119    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      442    0.001    0.000    0.017    0.000 transforms.py:283(canonicalize_cfg_single_backedge)
     1330    0.002    0.000    0.017    0.000 cgutils.py:936(gep)
       30    0.003    0.000    0.017    0.001 __init__.py:847(_rc_params_in_file)
     1081    0.001    0.000    0.017    0.000 extending.py:129(decorate)
      203    0.002    0.000    0.017    0.000 inline_closurecall.py:1410(_inline_const_arraycall)
  126/115    0.000    0.000    0.017    0.000 _docstring.py:79(__call__)
        1    0.000    0.000    0.017    0.017 charseq.py:1(<module>)
     3086    0.003    0.000    0.017    0.000 builder.py:769(store)
       50    0.000    0.000    0.017    0.000 codegen.py:1013(scan_unresolved_symbols)
  594/264    0.001    0.000    0.017    0.000 _parser.py:452(_parse_sub)
        1    0.000    0.000    0.017    0.017 cm.py:1(<module>)
      145    0.001    0.000    0.017    0.000 types.py:33(_get_ll_pointer_type)
  479/477    0.000    0.000    0.017    0.000 __init__.py:73(import_module)
    50308    0.010    0.000    0.017    0.000 event.py:66(_guard_kind)
     4510    0.002    0.000    0.017    0.000 ssa.py:207(_run_ssa_block_pass)
   177246    0.016    0.000    0.016    0.000 {method 'extend' of 'list' objects}
      105    0.000    0.000    0.016    0.000 callconv.py:454(return_user_exc)
       50    0.000    0.000    0.016    0.000 codegen.py:1032(scan_defined_symbols)
  479/477    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:1375(_gcd_import)
  706/273    0.006    0.000    0.016    0.000 _parser.py:512(_parse)
